0
11
 0    23    44    45    54    50    48    26    24    27	28
23     0    30    35    44    40    30    22    47    30	29
44    30     0     5    14    15    15    46    38    17	16
45    35     5     0     9    13    17    46    39    18	17
54    44    14     9     0    10    20    51    48    27	26
50    40    15    13    10     0    10    41    44    23	22
45    30    15    17    20    10     0    31    39    18	17
26    22    46    46    51    41    31     0    25    46	46
24    47    38    39    48    44    42    25     0    21	22
27    30    17    18    27    23    21    46    21     0	 1
28    29    16    17    26    22    20    46    22     1	 0
